,Unnamed: 0,request,gold_judgment,direct_source,model_pred,reasoning
0,1787,The idea that the united states was destined to extend westward across the continent?,fully specified,AmbigQA,fully specified,"The query asks for the term describing the historical belief that the United States was destined to expand westward across the continent. This is a well-defined concept with a specific name (""Manifest Destiny"") and no ambiguity in the question."
1,161,How many times french won the world cup?,fully specified,AmbigQA,fully specified,"The query asks for the number of times the French national team has won the FIFA World Cup. This is a specific, factual question with a clear answer based on historical data. The term ""French"" unambiguously refers to the country France, and ""World Cup"" refers to the FIFA World Cup, the most prominent football tournament. The question is fully specified as it requires a direct answer without additional context."
2,1383,When was pink floyd's dark side of the moon released?,fully specified,AmbigQA,fully specified,"The query explicitly asks for the release date of Pink Floyd's ""Dark Side of the Moon,"" a specific album by a specific band. All necessary information is provided to answer the question directly without ambiguity or missing context."
3,1111,When did leonardo da vinci finish painting the mona lisa?,fully specified,AmbigQA,underspecified,"The query asks for the specific date Leonardo da Vinci finished painting the Mona Lisa. While historical records indicate the painting was completed in the early 1500s, the exact date is not definitively documented due to uncertainties in da Vinci's workflow and the passage of time. The painting was likely completed around 1503, but the precise day or year remains unclear."
4,1542,Who is the first speaker of national assembly of pakistan?,fully specified,AmbigQA,fully specified,"The query specifically asks for the first Speaker of the National Assembly of Pakistan, which is a well-defined historical position. The question is clear and unambiguous, requiring a factual answer about the inaugural holder of the role."
5,207,When does 13 reasoms why season 2 come out?,fully specified,AmbigQA,underspecified,Not supplied for this particular example.
6,1018,Who played betty jo in wayne's world 2?,fully specified,AmbigQA,fully specified,"The query specifies the movie title (""Wayne's World 2"") and the character name (""Betty Jo""), which are sufficient to identify the actress who played the role."
7,189,Where is season 3 of into the badlands filmed?,fully specified,AmbigQA,fully specified,"The query asks for the filming location of Season 3 of *Into the Badlands*. The show is set in the American West and is known for its realistic portrayal of the frontier. While specific details about Season 3’s filming locations may vary, the series is primarily filmed in and around Santa Fe, New Mexico, which aligns with its Western setting. The query is specific enough to require a precise answer, and the answer is well-documented in media sources."
8,1162,Actress who plays hillary on the young and the restless?,fully specified,AmbigQA,fully specified,"The query asks for the actress who plays the character ""Hillary"" on the soap opera *The Young and the Restless*. The question is specific, referencing a well-defined show and character, requiring a direct answer."
9,758,When a blood vessel is injured the first phase in hemostasis to occur is?,fully specified,AmbigQA,fully specified,"The query asks for the first phase of hemostasis after a blood vessel injury. Hemostasis involves three phases: vascular spasm (immediate constriction of the blood vessel), platelet plug formation, and coagulation. The first phase is clearly defined as vascular spasm. The query is specific and requires a factual, medically accurate answer."
10,1652,Who plays barry allen in justice league movie?,fully specified,AmbigQA,fully specified,"The query asks for the actor who plays Barry Allen in the Justice League movie. The question is specific and directly seeks the name of the actor associated with this role in a particular film. The necessary information (character name, movie title) is explicitly provided, making the query fully defined."
11,981,Veronica mars who does she end up with?,fully specified,AmbigQA,fully specified,"The query asks for the romantic conclusion of the character Veronica Mars from the TV show ""Veronica Mars,"" which is a well-defined and specific question about the show's established ending. The answer is directly tied to the show's narrative and does not require additional context or clarification."
12,501,Who developed the world systems theory which explains how global stratification developed?,fully specified,AmbigQA,fully specified,"The query asks for the developer of the world systems theory, a specific academic concept. The answer requires identifying the scholar who formulated this theory, which is a well-defined question with a clear, established answer."
13,958,Who plays diane lockhart in the good wife?,fully specified,AmbigQA,fully specified,"The query explicitly asks for the actor who plays Diane Lockhart in the TV show *The Good Wife*. The show title, character name, and context are all clearly provided, making the request specific and unambiguous."
14,508,Who played gloria in it ain't half hot mum?,fully specified,AmbigQA,fully specified,"The query asks for the actor who played the character ""Gloria"" in the specific TV show ""It Ain't Half Hot Mum."" The show and character are clearly defined, making the query fully specified."
15,570,Where were the two atomic bombs dropped in japan?,fully specified,AmbigQA,fully specified,"The query asks for the specific locations of the two atomic bombs dropped on Japan during World War II. This is a historically well-documented event with a clear, unambiguous answer (Hiroshima and Nagasaki). The query is precise and does not require further clarification."
16,331,When did the japanese river otter become extinct?,fully specified,AmbigQA,fully specified,"The query asks for the specific time when the Japanese river otter became extinct. The term ""Japanese river otter"" refers to a specific species (Neovison vison), and the question is directly seeking a factual answer about its extinction date. The query is clear and unambiguous, requiring a precise historical or scientific response."
17,976,Scratches in rock produced by glacial abrasion are called?,fully specified,AmbigQA,fully specified,"The query asks for the specific term describing scratches in rock caused by glacial abrasion. This is a precise, factual question with a clear answer in geology (""glacial striations""). The question is unambiguous and does not require additional context or interpretation."
18,892,Who plays val in my name is lenny?,fully specified,AmbigQA,fully specified,"The query asks for the actor who plays the character ""Val"" in the TV show ""My Name is Lenny."" The show's title and character name are explicitly provided, making the question specific and unambiguous."
19,1905,Who played draco malfoy in the harry potter movies?,fully specified,AmbigQA,fully specified,"The query explicitly asks for the actor who played Draco Malfoy in the Harry Potter movies. The question is specific and unambiguous, requiring a direct answer without additional context or clarification."
20,1457,Where did the name kellogg's come from?,fully specified,AmbigQA,fully specified,"The query asks for the origin of the name ""Kellogg's,"" which is a specific and well-defined question about the etymology of a company name. The user is seeking a direct answer without ambiguity or additional context."
21,709,What laws directed the flow of goods between england and the colonies?,fully specified,AmbigQA,fully specified,"The query asks for the specific laws that regulated trade between England and its colonies, which historically refers to the Navigation Acts. This is a well-defined historical question with a clear answer."
22,794,When does braxton family values season 5 start?,fully specified,AmbigQA,fully specified,Not supplied for this particular example.
23,80,Who won artist of the year at mama 2017?,fully specified,AmbigQA,fully specified,"The query specifies the event (""mama 2017"") and the award category (""artist of the year""), providing sufficient context to identify the winner."
24,929,Who set up the first stockyard for texas cattle in abilene kansas?,fully specified,AmbigQA,fully specified,"The query asks for the specific individual or entity responsible for establishing the first stockyard for Texas cattle in Abilene, Kansas. The question is direct, with a clear subject (the first stockyard), location (Abilene, Kansas), and context (Texas cattle). This requires a specific historical fact, making the query fully defined."
25,683,Who did we buy the gadsden purchase from?,fully specified,AmbigQA,fully specified,"The query asks for the seller of the Gadsden Purchase, a specific historical event where the U.S. acquired land from Mexico. The question is direct and unambiguous, requiring a factual answer about the transaction's counterpart."
26,1875,Who did the singing for bart in the movie i can only imagine?,fully specified,AmbigQA,fully specified,"The query asks specifically about the movie ""I Can Only Imagine"" and the singer associated with Bart's character in that film. The question is clear and directly references the movie's context, making it fully specified."
27,1328,Who plays the indian in wayne's world 2?,fully specified,AmbigQA,fully specified,"The query clearly asks for the actor who plays the Indian character in ""Wayne's World 2,"" specifying the movie title, character, and the need for the actor's name. All necessary details are provided."
28,1936,Who played the original jason on friday the 13th?,fully specified,AmbigQA,fully specified,"The query specifically refers to ""the original Jason on Friday the 13th,"" which unambiguously points to the first film in the franchise. The term ""original"" clearly identifies the earliest iteration of the character, eliminating ambiguity about which film or actor is being referenced."
29,576,When did toyota start selling cars in the us?,fully specified,AmbigQA,fully specified,"The query asks for the specific date when Toyota began selling cars in the United States. This is a direct, factual question with a clear subject (Toyota) and object (selling cars in the US). No additional context or ambiguity is present."
30,799,How many episodes in season 2 of wynonna earp?,fully specified,AmbigQA,fully specified,"The query asks for the number of episodes in season 2 of ""Wynonna Earp,"" which is a specific, factual question about a TV show's season structure. The required information is directly requested without ambiguity."
31,157,Who was the president of nigeria in 1971?,fully specified,AmbigQA,fully specified,"The query asks for the president of Nigeria in 1971. The country (Nigeria) and the specific year (1971) are clearly provided, which are sufficient to determine the answer."
32,100,What geographical feature of the ocean floor is between the shoreline and the continental slope?,fully specified,AmbigQA,fully specified,"The query asks for a specific geographical feature of the ocean floor located between the shoreline and the continental slope. This is a well-defined geological term with a clear boundary in oceanography. The answer requires knowledge of marine geography layers, which are standardized in scientific contexts."
33,1294,When was the first person sent to space?,fully specified,AmbigQA,fully specified,"The query asks for the specific date when the first person was sent to space, which is a well-defined historical event with a known answer. The question is clear and does not require additional context or clarification."
34,1505,Who played the mohawk guy in road warrior?,fully specified,AmbigQA,fully specified,"The query asks for the actor who played the mohawked character in *Mad Max: Road Warrior*, a specific role in a well-defined movie. The answer requires identifying the actor associated with that role, which is a direct and unambiguous question."
35,1509,Who is jay park asia's got talent?,fully specified,AmbigQA,fully specified,"The query asks for the identity of Jay Park in the context of ""Asia's Got Talent,"" a specific reality TV show. The question is clear and directly seeks information about a known participant. No additional context or clarification is required to answer it."
36,780,2014 kia soul front or rear wheel drive?,fully specified,AmbigQA,fully specified,The query specifically asks about the 2014 Kia Soul's wheel drive configuration (front or rear). This is a well-defined question with a clear answer based on vehicle specifications. The user is seeking factual information about a specific model year and its drivetrain type.
37,951,Who plays avery in when we first met?,fully specified,AmbigQA,fully specified,"The query asks for the actor who plays a specific character (""Avery"") in a specific TV show (""When We First Met""). The question is direct and contains all necessary details to identify the actor, as the show and character are clearly defined."
38,1673,Who had the right in the roman republic to declare war?,fully specified,AmbigQA,fully specified,"The query asks for a specific historical fact about the Roman Republic's political structure, which is well-defined and requires a factual answer. The question is clear and directly seeks the authority responsible for declaring war during that period."
